TOTAL UNIQUE: 273
BOM v0.1	npd:P2
BOM v1.0	npd:P3,jdm:P2
BOM v2.0	derivative:P2
BOM v2.0 硬件差异	derivative:P2
BOM 差异分析	eco:P1
BOM/图纸/ECN 草案	idr:P2
BOM差异与新物料清单	idr:P1
BOM差异对比	eco:P1
Build Record	npd:P4,npd:P5,derivative:P3,derivative:P4,jdm:P3,jdm:P4
CCB 变更决策记录	eco:P1
CIP 持续改善报告	npd:P7
CMF 方案	npd:P3
DFM 变更评审报告	eco:P2
DFM/DFA 评审报告	npd:P3,jdm:P2
DFM/DFT/DFMEA评审记录	derivative:P2
DFM/可制造性反馈报告	obt:P1
DFMEA/风险清单	derivative:P2
DVT 样机	npd:P5,jdm:P4
DVT 评审记录	npd:P5,derivative:P4,jdm:P4
DVT样机 ≥30台	npd:P5
DVT输入冻结记录	derivative:P3
DVT问题关闭清单	derivative:P4
ECN 正式发布	eco:P4
ECN/ECR 记录	jdm:P6
ECN/ECR记录	npd:P7
ECN草案/变更设计包	eco:P2
ECO 关闭评审记录	eco:P5
ECO关闭报告	eco:P5
ECR变更申请书	eco:P1
EE 原理图	jdm:P2
EE 原理图 & PCB Layout	jdm:P2
EOL 100%测试能力验收记录	npd:P6,derivative:P5,jdm:P5
EOL 100%测试项目清单	npd:P6
EVT 样机	npd:P4,jdm:P3
EVT 评审记录	npd:P4,derivative:P3,jdm:P3
EVT 问题清单	npd:P4
EVT可选项裁剪记录	derivative:P3
EVT样机 ≥10台	npd:P4
EVT问题关闭清单	derivative:P3
FAI 首件检验报告	obt:P2
ID 外观设计稿	npd:P3
ID/CMF 输入包	jdm:P1
ID/CMF设计包	idr:P2
IDR Kickoff 记录	idr:P1
IDR翻新 brief	idr:P1
ID外观图	npd:P3
Kickoff 会议纪要	npd:P2
MD 结构图纸	jdm:P2
MD结构图	npd:P3
MD结构图纸	idr:P2
MP Release 评审记录	idr:P4
MP 准备就绪评审记录	obt:P3
MSDS	npd:P5,npd:P6,derivative:P2,derivative:P4,derivative:P5,jdm:P5,obt:P3
PCB Layout 文件	npd:P3,jdm:P2
PCB v2	npd:P4
PCB v2 改板记录	npd:P4
PCBA/主控升级设计包	derivative:P2
PCB原理图&Layout	npd:P3
PFMEA/CTQ控制计划	npd:P5
PRD产品需求文档	npd:P2
PSD产品规格书	npd:P2
PVT Readiness清单	derivative:P4
PVT 评审记录	npd:P6,jdm:P5
PVT 试产计划	derivative:P5
PVT或首批质量报告	idr:P4
PVT试产计划	derivative:P5
RACI 责任矩阵	npd:P2,jdm:P1
SOP / WI 文件	npd:P6
SOP/WI	jdm:P5,obt:P3
SOP/WI与检验标准更新	derivative:P5
SOP/WI作业指导书	npd:P6
SOP/WI更新记录	idr:P4
SW 架构文档	jdm:P2
SW架构文档	npd:P3
T0/T1试模准备记录	derivative:P2
T1试模报告	derivative:P4
T2/修模验证报告	derivative:P4
UN38.3运输测试报告或复用确认	npd:P5,npd:P6,derivative:P2,derivative:P4,derivative:P5,jdm:P5,obt:P3
WBS 与里程碑计划	npd:P2
openBOM 核对清单	obt:P1
专利检索与规避分析	npd:P1
产品交付/EOL 评审记录	jdm:P6,obt:P4
产品概念书	npd:P1
产品规格书 PSD	npd:P2
产品需求文档 PRD	npd:P2
产线切换计划	eco:P4
产能爬坡计划	npd:P7
供应商样件	idr:P2
供应商评估表	npd:P2
保护功能测试方案	npd:P3
保护参数与热路径校核	derivative:P2
保护电路设计评审或复用确认	npd:P3
保护电路设计输入	npd:P3
关键安全/性能检验标准	npd:P6
关键技术挑战清单	npd:P1
关键料件规格确认	npd:P3,jdm:P2
关键模块验证报告	derivative:P3
关键路径标注	npd:P2
初步 BOM 与 NRE/模具方案	jdm:P1
功能/性能测试报告	jdm:P3
功能与性能回归测试报告	idr:P3
功能测试报告	npd:P4
功能测试报告 (FT)	npd:P4,jdm:P3
包装/标签设计稿	idr:P2
包装与物流验证	obt:P3
包装与物流验证报告	npd:P6,derivative:P4,obt:P3
包装设计验证报告	npd:P5
包装验证报告	idr:P3,jdm:P4
升级DVT样机	derivative:P4
升级EVT样机	derivative:P3
升级后良率报告	derivative:P6
升级目标达成验证报告	derivative:P6
升级设计冻结记录	derivative:P2
升级试产报告	derivative:P5
升级验证计划	derivative:P2
变更后良率报告	eco:P5
变更效果验证报告	eco:P5
变更时程	eco:P1
变更点专项验证报告	eco:P3
变更点可靠性测试报告	eco:P3
变更设计评审报告	eco:P2
变更试产报告	eco:P4
变更需求单 ECR	eco:P1
变更验证报告	eco:P3
变更验证样机	eco:P3
变更验证评审记录	eco:P3
可行性与初步 DFM 报告	jdm:P1
可靠性/回归测试报告	idr:P3
可靠性与外观耐久测试报告	idr:P3
可靠性与安全预验证报告	derivative:P3
可靠性测试报告	npd:P5,derivative:P4,jdm:P4
售后影响跟踪报表	eco:P5
售后数据分析	npd:P7,jdm:P6
售后问题报表	npd:P7,obt:P4
售后问题跟踪	obt:P4
商业可行性分析	npd:P1
回归测试报告	eco:P3
图纸/规格完整性确认	obt:P1
外观检验标准	idr:P3
安全FMEA与危害分析	npd:P3
安全件供应商资质清单	npd:P2
